,x
1,Albania
2,Algeria
3,Angola
4,Argentina
5,Armenia
6,Australia
7,Austria
8,Azerbaijan
9,Bahrain
10,Bangladesh
11,Belgium
12,Benin
13,Bolivia
14,Bosnia and Herzegovina
15,Botswana
16,Brazil
17,Bulgaria
18,Burkina Faso
19,Burundi
20,Cameroon
21,Canada
22,Central African Republic
23,Chad
24,Chile
25,China
26,Colombia
27,Republic of Congo
28,Democratic Republic of Congo
29,Costa Rica
30,Ivory Coast
31,Croatia
32,Cyprus
33,Czech Republic
34,Denmark
35,Dominican Republic
36,Ecuador
37,Egypt
38,El Salvador
39,Estonia
40,Ethiopia
41,Fiji
42,Finland
43,France
44,Gabon
45,Georgia
46,Germany
47,Ghana
48,Greece
49,Guatemala
50,Guinea-Bissau
51,Guyana
52,Haiti
53,Honduras
54,Hungary
55,India
56,Indonesia
57,Iran
58,Ireland
59,Italy
60,Jamaica
61,Japan
62,Jordan
63,Kazakhstan
64,Kenya
65,South Korea
66,Kuwait
67,Kyrgysztan
68,Latvia
69,Lesotho
70,Lithuania
71,Macedonia
72,Madagascar
73,Malawi
74,Malaysia
75,Mali
76,Mauritania
77,Mauritius
78,Mexico
79,Moldova
80,Mongolia
81,Morocco
82,Mozambique
83,Namibia
84,Nepal
85,Netherlands
86,Nicaragua
87,Niger
88,Nigeria
89,Norway
90,Oman
91,Pakistan
92,Panama
93,Paraguay
94,Peru
95,Philippines
96,Poland
97,Portugal
98,Romania
99,Russia
100,Rwanda
101,Senegal
102,Sierra Leone
103,Singapore
104,Slovakia
105,Slovenia
106,South Africa
107,Spain
108,Sri Lanka
109,Sweden
110,Switzerland
111,Syria
112,Tanzania
113,Thailand
114,Togo
115,Trinidad and Tobago
116,Tunisia
117,Turkey
118,Uganda
119,Ukraine
120,United Arab Emirates
121,USA
122,Uruguay
123,Venezuela
124,Vietnam
125,Serbia
126,Zambia
