,x,nat_sec
1,Albania,0
2,Algeria,1
3,Angola,1
4,Argentina,0
5,Armenia,0.5
6,Australia,0
7,Austria,1
8,Azerbaijan,1
9,Bahrain,0
10,Bangladesh,0
11,Belgium,0
12,Benin,0
13,Bolivia,0
14,Bosnia-Herzegovina,0
15,Botswana,0
16,Brazil,0
17,Bulgaria,0
18,Burkina Faso (Upper Volta),0
19,Burundi,1
20,Cameroon,0
21,Canada,0
22,Central African Republic,0
23,Chad,0
24,Chile,1
25,China,0
26,Colombia,0
27,Congo,0
28,"Congo, Democratic Republic Of (Zaire)",0
29,Costa Rica,0
30,Cote D'Ivoire,0
31,Croatia,0
32,Cyprus,0
33,Czech Republic,1
34,Denmark,0
35,Dominican Republic,0
36,Ecuador,0
37,Egypt,0
38,El Salvador,0
39,Estonia,0
40,Ethiopia,0
41,Fiji,0
42,Finland,0
43,France,0
44,Gabon,1
45,Georgia,1
46,German Federal Republic,0
47,Ghana,1
48,Greece,0
49,Guatemala,0
50,Guinea-Bissau,0
51,Guyana,0
52,Haiti,0
53,Honduras,0
54,Hungary,0
55,India,0
56,Indonesia,0
57,Iran (Persia),0
58,Ireland,0
59,Italy/Sardinia,0
60,Jamaica,0
61,Japan,0
62,Jordan,0
63,Kazakhstan,1
64,Kenya,1
65,"Korea, Republic Of",0
66,Kuwait,0
67,Kyrgyz Republic,0
68,Latvia,0
69,Lesotho,0
70,Lithuania,0
71,Macedonia (Former Yugoslav Republic Of),1
72,Madagascar (Malagasy),0
73,Malawi,0
74,Malaysia,0
75,Mali,0
76,Mauritania,0
77,Mauritius,0
78,Mexico,0
79,Moldova,0
80,Mongolia,1
81,Morocco,0
82,Mozambique,1
83,Namibia,0
84,Nepal,0
85,Netherlands,0
86,New Zealand,0
87,Nicaragua,0
88,Niger,0
89,Nigeria,1
90,Norway,0
91,Oman,0
92,Pakistan,0
93,Panama,0
94,Paraguay,0
95,Peru,0
96,Philippines,0
97,Poland,1
98,Portugal,0
99,Romania,0
100,Russia (Soviet Union),1
101,Rwanda,0
102,Senegal,1
103,Sierra Leone,0
104,Singapore,0
105,Slovakia,0
106,Slovenia,0
107,South Africa,0
108,Spain,0
109,Sri Lanka (Ceylon),0
110,Sweden,0
111,Switzerland,0
112,Syria,0
113,Tanzania/Tanganyika,0
114,Thailand,0
115,Togo,0
116,Trinidad And Tobago,0
117,Tunisia,0
118,Turkey/Ottoman Empire,1
119,Uganda,1
120,Ukraine,0
121,United Arab Emirates,0
122,United Kingdom,0
123,United States Of America,0
124,Uruguay,0
125,Venezuela,0
126,"Vietnam, Democratic Republic Of",1
127,Yugoslavia (Serbia),0
128,Zambia,0
